toi,toipfx,pl_pnum,ra,dec,st_pmra,st_pmraerr1,st_pmdec,pl_orbper,pl_orbpererr1,pl_trandurh,pl_trandurherr1,pl_trandep,pl_trandeperr1,pl_rade,pl_radeerr1,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_dist,st_disterr1,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_rad,st_raderr1,st_logg_missing,st_teff_missing,tfopwg_disp_CP,tfopwg_disp_FA,tfopwg_disp_FP,tfopwg_disp_KP,tfopwg_disp_PC,rastr_01h34m22.42s,rastr_03h41m50.17s,rastr_10h06m26.93s,decstr_-30d27m14.82s
1057.01,1057,1,127.996917,-78.407564,117.721,0.081,-24.565,51.1701501,0.0001962,6.6641048,0.2877187,851.4547808,36.121876,2.9366826,0.26575,11.2148229,466.7322968,9.4091,0.006,98.2855,0.26725,5599.0,187.0,-187.0,4.46138,0.26998,0.943356,0.0456583,0,0,False,False,False,False,True,False,False,False,False
1058.01,1058,1,288.911772,-31.790813,3.226,0.082,-16.323,11.1296441,6.03e-05,7.0473822,0.3110119,951.6169809,60.711002,12.8402271,0.8162001,1255.681716,1518.237249,9.3781,0.007,338.831,6.705,5785.0,189.0,-189.0,4.344,2.00356,3.4475601,0.174417,0,0,False,False,False,False,True,False,False,False,False
1059.01,1059,1,269.714503,-60.922727,4.297,0.037,-207.409,9.4496506,2.8e-06,2.021,0.027,19750.0,16.7663,17.0216,1.10249,38.5799,694.0,9.7825,0.006,98.8783,0.4197,5509.0,186.0,-186.0,4.39758,2.00408,0.94,0.06,0,0,False,False,False,False,True,False,False,False,False
106.01,106,1,68.959816,-64.027039,10.845,0.035,-0.499,2.8493825,3e-07,3.567,0.053,8049.0,25.0232,16.3869,0.734704,2005.83,1864.0,10.3157,0.006,364.411,2.729,6900.0,-999.0,-999.0,4.438,-999.0,1.77,0.08,0,0,False,False,False,True,False,False,False,False,False
1060.01,1060,1,299.290995,-48.934476,2.224,0.286,-14.604,2.0685633,4e-06,0.373,0.065,502.0,169.202,3.89739,0.417306,24.409,619.0,9.6652,0.006,128.491,3.3745,5687.9,76.0,-76.0,4.6,0.12,1.14,0.07,0,0,False,False,False,False,False,False,False,False,False
1061.01,1061,1,284.688908,-41.242483,24.978,0.089,-71.79,0.540933,0.000107,1.674337,0.329757,257.347459,27.641214,2.28501,0.57323,363.901,1183.0137325,9.7345,0.006,133.171,0.6935,5525.0,186.0,-186.0,4.25342,0.29667,1.21935,0.16458,0,0,False,False,True,False,False,False,False,False,False
1062.01,1062,1,38.120968,-78.023683,107.847,0.045,30.732,4.1150576,5.6e-06,1.08,0.323,487.0,50.8548,2.30057,0.16833,77.3573,826.0,9.478,0.006,82.1733,0.1632,5394.0,185.0,-185.0,4.50942,0.276077,0.89,0.05,0,0,True,False,False,False,False,False,False,False,False
1063.01,1063,1,230.555493,-83.056214,-89.125,0.041,-9.6,10.0665238,2.37e-05,2.4023189,0.1599323,839.9044871,47.550835,2.7272824,0.2128311,54.8791715,694.1792631,9.0689,0.006,61.1201,0.1009,5552.0,187.0,-187.0,4.61783,0.263463,0.791742,0.0453065,0,0,False,False,False,False,True,False,False,False,False
1064.01,1064,1,296.003935,-47.56203,-3.457,0.124,-100.891,6.4438657,1.65e-05,1.9309449,0.3014965,1121.951228,76.157646,2.460344,1.638728,60.831305,712.2812841,10.0059,0.006,68.0726,0.362,4803.0,178.0,-178.0,4.52079,2.00348,0.737189,0.0567035,0,0,True,False,False,False,False,False,False,False,False
1064.02,1064,2,296.003935,-47.56203,-3.457,0.124,-100.891,12.2265595,2.69e-05,2.1904379,0.4219775,1206.369329,86.60944,2.6014766,1.7533404,25.8970378,575.3502049,10.0059,0.006,68.0726,0.362,4803.0,178.0,-178.0,4.52079,2.00348,0.737189,0.0567035,0,0,True,False,False,False,False,False,False,False,False
1065.01,1065,1,286.36675,-50.06735,7.315,0.037,-0.862,2.160344,0.000276,1.828854,0.14481,19357.99299,1487.6189,22.503541,17.500204,363.901,1183.0137325,13.2851,0.006,639.004,9.4715,5780.0,-999.0,-999.0,4.32928,-999.0,1.2,0.06,0,0,False,False,False,True,False,False,False,False,False
